source name	characteristics[sample name]	characteristics[project name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[soil type]	characteristics[land use]	characteristics[geographic location]	characteristics[environmental medium]	characteristics[depth]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[land use]
PXD003572-Site7	PXD003572-Site7	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	esparto grassland	Southeast Spain	soil	20 cm	3	141128_NJ_FB_21	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_21.raw	esparto grassland
PXD003572-Site8	PXD003572-Site8	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	mixed shrubland	Southeast Spain	soil	20 cm	1	150109_NJ_FB_22	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	150109_NJ_FB_22.raw	mixed shrubland
PXD003572-Site8	PXD003572-Site8	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	mixed shrubland	Southeast Spain	soil	20 cm	2	141128_NJ_FB_23	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_23.raw	mixed shrubland
PXD003572-Site8	PXD003572-Site8	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	mixed shrubland	Southeast Spain	soil	20 cm	3	141128_NJ_FB_24	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_24.raw	mixed shrubland
PXD003572-Site9	PXD003572-Site9	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	matorral shrubland	Southeast Spain	soil	20 cm	1	141128_NJ_FB_25	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_25.raw	matorral shrubland
PXD003572-Site9	PXD003572-Site9	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	matorral shrubland	Southeast Spain	soil	20 cm	2	150109_NJ_FB_26	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	150109_NJ_FB_26.raw	matorral shrubland
PXD003572-Site9	PXD003572-Site9	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	matorral shrubland	Southeast Spain	soil	20 cm	3	150109_NJ_FB_27	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	150109_NJ_FB_27.raw	matorral shrubland
PXD003572-Site10	PXD003572-Site10	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	dense shrubland	Southeast Spain	soil	20 cm	1	141128_NJ_FB_28	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_28.raw	dense shrubland
PXD003572-Site10	PXD003572-Site10	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	dense shrubland	Southeast Spain	soil	20 cm	2	141128_NJ_FB_29	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_29.raw	dense shrubland
PXD003572-Site10	PXD003572-Site10	not available	soil metagenome	not applicable	soil	Mediterranean semi-arid soil	dense shrubland	Southeast Spain	soil	20 cm	3	141128_NJ_FB_30	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	141128_NJ_FB_30.raw	dense shrubland
