source name	characteristics[sample name]	characteristics[project name]	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[geographic location]	characteristics[sample collection method]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[protein extraction method]	
PXD005969-Method6	PXD005969-Method6	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	urea lysis with ultrasonication	2	Xu_20161229_MetaproE_6_2	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	2	Xu_20161229_MetaproE_6_2.raw	urea lysis with ultrasonication	
PXD005969-Method6	PXD005969-Method6	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	urea lysis with ultrasonication	3	Xu_20161229_MetaproE_6_3	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	3	Xu_20161229_MetaproE_6_3.raw	urea lysis with ultrasonication	
PXD005969-Method7	PXD005969-Method7	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	B-Per lysis with bead beating	1	Xu_20161229_MetaproE_7_1	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	Xu_20161229_MetaproE_7_1.raw	B-Per lysis with bead beating	
PXD005969-Method7	PXD005969-Method7	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	B-Per lysis with bead beating	2	Xu_20161229_MetaproE_7_2	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	2	Xu_20161229_MetaproE_7_2.raw	B-Per lysis with bead beating	
PXD005969-Method7	PXD005969-Method7	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	B-Per lysis with bead beating	3	Xu_20161229_MetaproE_7_3	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	3	Xu_20161229_MetaproE_7_3.raw	B-Per lysis with bead beating	
PXD005969-Method9	PXD005969-Method9	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	SDS lysis with bead beating and heating	1	Xu_20161226_MetaproE_9_1	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	Xu_20161226_MetaproE_9_1.raw	SDS lysis with bead beating and heating	
PXD005969-Method9	PXD005969-Method9	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	SDS lysis with bead beating and heating	2	Xu_20161226_MetaproE_9_2	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	2	Xu_20161226_MetaproE_9_2.raw	SDS lysis with bead beating and heating	
PXD005969-Method9	PXD005969-Method9	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	SDS lysis with bead beating and heating	3	Xu_20161226_MetaproE_9_3	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	3	Xu_20161226_MetaproE_9_3.raw	SDS lysis with bead beating and heating	
PXD005969-Method10	PXD005969-Method10	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	urea lysis with bead beating and heating	1	Xu_20161226_MetaproE_10_1	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	Xu_20161226_MetaproE_10_1.raw	urea lysis with bead beating and heating	
PXD005969-Method10	PXD005969-Method10	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	urea lysis with bead beating and heating	2	Xu_20161226_MetaproE_10_2	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	2	Xu_20161226_MetaproE_10_2.raw	urea lysis with bead beating and heating	
PXD005969-Method10	PXD005969-Method10	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	urea lysis with bead beating and heating	3	Xu_20161226_MetaproE_10_3	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	3	Xu_20161226_MetaproE_10_3.raw	urea lysis with bead beating and heating	
PXD005969-Method11	PXD005969-Method11	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	B-Per lysis with ultrasonication	1	Xu_20161226_MetaproE_11_1	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	Xu_20161226_MetaproE_11_1.raw	B-Per lysis with ultrasonication	
PXD005969-Method11	PXD005969-Method11	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	B-Per lysis with ultrasonication	2	Xu_20161226_MetaproE_11_2	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	2	Xu_20161226_MetaproE_11_2.raw	B-Per lysis with ultrasonication	
PXD005969-Method11	PXD005969-Method11	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	B-Per lysis with ultrasonication	3	Xu_20161226_MetaproE_11_3	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	3	Xu_20161226_MetaproE_11_3.raw	B-Per lysis with ultrasonication	
PXD005969-Method13	PXD005969-Method13	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	B-Per lysis with bead beating and heating	1	Xu_20161226_MetaproE_13_1	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	Xu_20161226_MetaproE_13_1.raw	B-Per lysis with bead beating and heating	
PXD005969-Method13	PXD005969-Method13	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	B-Per lysis with bead beating and heating	2	Xu_20161226_MetaproE_13_2	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	2	Xu_20161226_MetaproE_13_2.raw	B-Per lysis with bead beating and heating	
PXD005969-Method13	PXD005969-Method13	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	B-Per lysis with bead beating and heating	3	Xu_20161226_MetaproE_13_3	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	3	Xu_20161226_MetaproE_13_3.raw	B-Per lysis with bead beating and heating	
PXD005969-Method14	PXD005969-Method14	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	SDS lysis and ultrasonication with heating	1	Xu_20161226_MetaproE_14_1	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	1	Xu_20161226_MetaproE_14_1.raw	SDS lysis and ultrasonication with heating	
PXD005969-Method14	PXD005969-Method14	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	SDS lysis and ultrasonication with heating	2	Xu_20161226_MetaproE_14_2	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	2	Xu_20161226_MetaproE_14_2.raw	SDS lysis and ultrasonication with heating	
PXD005969-Method14	PXD005969-Method14	not available	human gut metagenome	not applicable	feces	Homo sapiens	feces	normal	Canada	SDS lysis and ultrasonication with heating	3	Xu_20161226_MetaproE_14_3	proteomic profiling by mass spectrometry	AC=MS:1001911;NT=Q Exactive	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.05 Da	3	Xu_20161226_MetaproE_14_3.raw	SDS lysis and ultrasonication with heating	
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
