source name	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[water body type]	characteristics[geographic location]	characteristics[environmental medium]	characteristics[depth]	characteristics[sampling depth zone]	characteristics[collection date]	characteristics[sample collection method]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[technical replicate]	comment[data file]	factor value[depth]
PXD009712-St3-60m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	60 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_060m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st3_060m_HCD.raw	60 m
PXD009712-St3-120m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	120 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_120m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st3_120m_CID.raw	120 m
PXD009712-St3-120m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	120 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_120m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st3_120m_HCD.raw	120 m
PXD009712-St3-150m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	150 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_150m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st3_150m_CID.raw	150 m
PXD009712-St3-150m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	150 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_150m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st3_150m_HCD.raw	150 m
PXD009712-St3-200m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	200 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_200m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st3_200m_CID.raw	200 m
PXD009712-St3-200m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	200 m	mesopelagic transition	2011-10	in situ filtration 0.2-3.0 um	1	st3_200m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st3_200m_HCD.raw	200 m
PXD009712-St3-250m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	250 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st3_250m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st3_250m_CID.raw	250 m
PXD009712-St3-250m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	250 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st3_250m_HCD	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	2	st3_250m_HCD.raw	250 m
PXD009712-St3-500m	marine metagenome	not applicable	seawater	Pacific Ocean	17.00N 162.00W	seawater	500 m	mesopelagic	2011-10	in situ filtration 0.2-3.0 um	1	st3_500m_CID	proteomic profiling by mass spectrometry	AC=MS:1002416;NT=Orbitrap Fusion	NT=label free sample;AC=MS:1002038	1	Data-Dependent Acquisition	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	10 ppm	0.6 Da	1	st3_500m_CID.raw	500 m
